Tag Name,Description,Area,Loop Type,Unit,Range Low,Range High,Typical SP,Alarm HH,Alarm H,Alarm L,Alarm LL,Control Mode,Controller Output,SP Source,Cascade Master,Fail Position,Interlocks,Summary,On Hold,Page
1500-F-4244,AREA 1510 GROUP SAFETY SHOWER ALARM,Safety Shower,Digital Input,-,0,1,-,-,-,-,-,None,None,None,None,None,N/A,-,-,20
1500-F-4240,AREA 1520 GROUP SAFETY SHOWER ALARM,Safety Shower,Digital Input,-,0,1,-,-,-,-,-,None,None,None,None,None,N/A,-,-,21
1500-F-4242,AREA 1530 GROUP SAFETY SHOWER ALARM,Safety Shower,Digital Input,-,0,1,-,-,-,-,-,None,None,None,None,None,N/A,-,-,22
1500-F-4042,AREA 1540 GROUP SAFETY SHOWER ALARM,Safety Shower,Digital Input,-,0,1,-,-,-,-,-,None,None,None,None,None,N/A,-,-,23
1500-F-4044,AREA 1560 GROUP SAFETY SHOWER ALARM,Safety Shower,Digital Input,-,0,1,-,-,-,-,-,None,None,None,None,None,N/A,-,-,24
1500-F-4040,AREA 1570 GROUP SAFETY SHOWER ALARM,Safety Shower,Digital Input,-,0,1,-,-,-,-,-,None,None,None,None,None,N/A,-,-,25
1500-F-4002,TG BUILDING SAFETY SHOWER (NEAR WATER TREATMENT CHEM DOSING),Safety Shower,Digital Input,-,0,1,-,-,-,-,-,None,None,None,None,None,N/A,-,-,26
1500-F-4004,TG BUILDING SAFETY SHOWER (AUX. BOILER CHEMICAL DOSING),Safety Shower,Digital Input,-,0,1,-,-,-,-,-,None,None,None,None,None,N/A,-,-,27
1500-F-4006,ACC DEAERATOR (AT GRADE) SAFETY SHOWER,Safety Shower,Digital Input,-,0,1,-,-,-,-,-,None,None,None,None,None,N/A,-,-,28
1500-F-4008,CONV SH/ECON AREA (GRADE) SAFETY SHOWER,Safety Shower,Digital Input,-,0,1,-,-,-,-,-,None,None,None,None,None,N/A,-,-,29
